#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
405.74,468,173.79716
246.61,365,174.099117
305.09,523,174.510953
305.74,458,174.890332
217.78,245,176.459427
366.08,430,176.898413
236.75,350,177.184555
375.15,524,177.645174
295.92,439,178.058202
345.52,484,179.812627
237.06,319,180.081623
178.01,218,180.255306
404.92,550,180.747113
366.12,426,181.126202
89.31,79,181.18954
276.02,427,182.81617
394.93,548,183.275297
216.62,361,183.560655
355.36,501,183.975023
335.32,503,185.681958
167.82,236,185.940239
305.77,455,186.349044
354.37,600,186.841562
246.84,342,187.127013
276.68,361,187.443136
443.92,654,189.442806
365.47,491,189.86431
265.95,433,190.281601
226.59,365,190.566695
217.32,291,192.319161
178.05,214,192.493242
168.06,212,192.67521
286.52,378,193.018248
286.86,344,193.2869
168.23,195,193.450987
385.19,521,193.905678
108.46,166,195.459387
354.55,582,195.993355
315.58,475,196.424329
286.84,346,196.742989
227.43,281,196.981203
444.62,584,198.725157
29.89,15,198.732923
79.02,107,198.830698
9.65,37,198.859223
295.38,493,199.289241
345.81,455,199.639978
384.57,583,201.388937
365.29,509,201.871436
285.84,446,202.222265
236.63,362,202.540246
335.54,481,202.95451
-0.33,34,202.985744
236.24,401,204.710065
296.46,385,205.029165
395.17,524,205.442879
29.81,23,205.47472
394.19,622,205.983811
0.0,1,205.983811
375.7,469,207.867792
29.37,67,207.916035
414.92,551,208.410641
315.66,467,208.828635
297.07,324,209.109988
276.55,374,209.463585
246.29,397,211.272516
324.77,557,211.730799
425.21,523,212.17529
355.56,481,212.571618
355.88,449,214.215092
266.44,384,214.531682
383.27,713,215.135396
237.06,319,215.412576
257.15,312,215.675776
285.86,444,217.395292
306.05,427,217.773659
217.16,307,218.03107
49.29,77,218.094172
391.97,844,220.053446
177.89,230,220.307888
276.09,420,220.69014
304.78,554,221.149335
98.43,168,221.277047
177.98,221,221.450794
128.4,174,221.597251
187.8,240,221.783673
177.83,236,223.220806
365.42,496,223.664825
256.65,362,223.964978
364.92,546,224.440706
266.51,377,224.757994
325.38,496,226.635453
344.72,564,227.111237
29.56,48,227.158927
316.24,409,227.540962
306.74,358,227.842228
168.4,178,227.999737
108.6,152,229.517311
364.92,546,229.994594
253.73,654,230.536777
324.73,561,230.97592
276.37,392,232.774328
177.26,293,233.167207
306.5,382,233.723318
415.52,491,234.391686
355.94,443,234.805569
306.01,431,236.55513
138.48,167,236.692358
108.29,183,236.839122
325.66,468,237.219461
49.0,106,237.298501
365.35,503,237.725432
266.36,392,238.075629
216.49,374,239.813264
296.7,361,240.130488
245.73,453,240.526232
335.88,447,240.924392
365.43,495,242.676967
286.57,373,243.040578
216.66,357,243.325986
385.56,484,243.73938
326.33,401,244.100279
257.47,280,244.343267
325.9,444,246.130479
306.09,423,246.51166
335.85,450,246.955733
276.98,331,247.225139
217.03,320,247.492241
305.93,439,249.206589
374.99,540,249.659554
118.42,171,249.808253
236.23,402,250.134932
29.77,27,250.166554
266.45,383,250.450919
29.81,23,250.482573
49.67,39,250.508417
345.97,439,252.271139
138.43,172,252.428045
297.07,324,252.699838
257.14,313,252.969751
364.78,560,253.443742
266.14,414,253.809668
384.61,579,255.792061
276.62,367,256.09686
237.85,240,256.305516
79.12,97,256.384204
276.3,399,256.71751
138.21,194,256.875974
285.39,491,258.580193
207.41,281,258.834052
256.53,374,259.134917
236.78,347,259.419722
352.75,762,260.06924
294.08,623,261.995819
246.4,386,262.32832
177.86,233,262.534284
256.56,371,262.869013
207.37,285,263.108875
234.23,602,264.976431
157.57,260,265.197784
355.9,447,265.58747
9.82,20,265.605665
385.51,489,266.009272
108.7,142,266.135505
217.65,258,267.687111
354.47,590,268.241773
137.88,227,268.432986
355.67,470,268.860516
355.56,481,269.272866
336.27,408,271.039161
276.08,421,271.407196
394.72,569,271.88174
364.99,539,272.310385
335.8,455,274.027438
316.1,423,274.411861
325.19,515,274.871988
237.54,271,275.109741
237.59,266,275.40865
246.93,333,275.943547
345.43,493,279.66941
295.61,470,280.417394
188.33,187,280.70585
415.09,534,281.595914
276.44,385,282.230802
305.78,454,285.897443
365.88,450,286.581305
395.79,462,287.293198
394.43,598,288.229723
228.15,209,288.581597
345.21,515,292.365441
168.27,191,292.683197
326.47,387,293.289422
99.07,104,293.448522
335.65,470,294.225717
147.78,238,294.594317
315.39,494,298.2996
197.45,276,298.709957
158.09,208,299.044397
395.02,539,299.871281
207.76,246,300.263136
287.21,309,300.728279
335.61,474,304.291709
336.7,365,304.864337
276.0,429,305.496679
208.04,218,305.86189
306.93,339,306.438672
158.03,214,306.75932
246.83,343,309.822862
256.13,414,310.425571
266.18,410,311.047435
266.67,361,311.602719
365.31,507,312.380945
226.87,337,315.863257
326.02,432,316.52919
355.31,506,317.308153
364.74,564,318.179294
394.21,620,321.90695
296.1,421,322.527026
256.6,367,323.087948
306.74,358,323.61921
334.65,570,324.461236
89.23,87,327.44082
315.35,498,328.334797
325.48,486,329.180996
128.34,180,329.466397
246.54,372,330.067468
344.65,571,333.825275
118.07,206,334.147196
364.94,544,335.040972
148.62,154,335.273754
365.73,465,336.013999
157.74,243,336.390827
296.87,344,336.933464
10.0,2,336.933464
237.49,276,340.071739
306.46,386,340.675607
355.67,470,341.454592
306.57,375,342.114763
286.86,344,342.674808
10.0,2,342.674808
275.93,436,346.333364
306.59,373,346.907888
346.01,435,347.602351
286.79,351,348.133256
325.95,439,348.818254
365.23,515,352.372597
285.92,438,353.040931
365.55,483,353.740542
336.03,432,354.375694
266.77,351,354.917229
324.59,575,358.804053
374.25,614,359.803677
227.03,321,360.296523
296.67,364,360.899298
286.04,426,364.344757
276.07,422,364.971286
394.86,555,365.790468
236.08,417,366.395745
257.09,318,366.874641
285.19,511,370.422175
345.91,445,371.091014
336.63,372,371.68299
128.43,171,371.959029
345.82,454,372.684868
187.44,276,375.996424
345.91,445,376.716634
404.6,582,377.57511
403.9,652,378.542805
336.09,426,382.051558
206.88,334,382.573092
237.39,286,383.032962
365.3,508,383.844636
296.37,394,384.463017
355.92,445,387.970578
19.76,27,388.036008
227.78,246,388.471078
345.15,521,389.283154
394.76,565,390.158228
326.63,371,390.707093
295.64,467,393.987962
354.91,546,394.81189
246.86,340,395.33522
385.22,518,396.174377
207.17,305,396.684313
395.63,478,400.136957
315.96,437,400.790455
375.13,526,401.62166
266.03,425,402.285306
375.64,475,405.719937
247.61,265,406.163913
335.88,447,406.862275
345.32,504,407.704251
354.52,585,408.673623
256.63,364,412.095073
394.01,640,413.146079
316.61,372,413.750608
147.69,247,414.124645
256.41,386,414.711927
29.63,41,414.775716
128.35,179,417.936297
157.99,218,418.289218
316.18,415,418.973393
246.63,363,419.576558
-0.02,3,419.576558
376.0,439,420.259467
364.73,565,424.108114
326.26,408,424.796707
248.12,214,425.150008
325.88,446,425.839238
336.23,412,426.476584
434.83,562,427.3761
257.42,285,430.503928
197.65,256,430.910132
394.7,571,431.820228
375.09,530,432.658708
365.2,518,436.484302
306.27,405,437.136446
98.82,129,437.343121
385.88,452,438.091048
226.25,399,438.755556
304.31,601,442.231437
374.84,555,443.122366
355.71,466,443.835661
177.66,253,444.231583
375.31,508,445.009467
256.01,426,448.572985
374.88,551,449.441365
275.52,477,450.187673
434.23,622,451.146957
187.97,223,454.515172
108.28,184,454.845361
266.77,351,455.399882
393.91,650,456.385578
394.97,544,457.228464
108.91,121,457.420296
406.38,404,460.801566
118.38,175,461.087798
315.67,466,461.811748
305.57,475,462.535151
355.15,522,463.347528
